metal_a_type,metal_a_concentration,metal_b_type,metal_molar_ratio_b_a,Model_Predicted_Adhesion,True_Adhesion,Adhesion_Error,Model_Predicted_Coverage,True_Coverage,Coverage_Error,Model_Predicted_Uniformity,True_Uniformity,Uniformity_Error
14.0,50.0,9.0,4.0,-0.058276057,-0.058164574,-0.0001114832433471713,2.3707924,2.3710427,-0.00025031108398421154,2.40909,2.4098828,-0.0007927578857422901
15.0,50.0,9.0,4.0,-0.0101415515,-0.010185458,4.390650540161099e-05,2.627678,2.6276178,6.0117480468857565e-05,2.5449626,2.5453093,-0.0003466554229736296
12.0,50.0,9.0,4.0,-0.14624417,-0.1461452,-9.89682815551729e-05,1.9128466,1.91191,0.0009365652465820329,2.1561763,2.1564813,-0.0003049713409422061
10.0,50.0,9.0,4.0,-0.22340977,-0.22348869,7.891808074950157e-05,1.5254422,1.5247993,0.0006429426223755197,1.9266864,1.9263483,0.0003381061355591797
5.0,50.0,9.0,4.0,-0.36971468,-0.37030998,0.0005953026661681959,0.8749764,0.87211937,0.002857026560668996,1.4552865,1.4528164,0.002470102838134869
20.0,30.0,11.0,9.0,0.9327729,0.9329999,-0.00022702516784667282,2.8156831,2.8154747,0.0002084264495847421,2.925301,2.92515,0.00015107498168953626
20.0,50.0,11.0,6.0,0.455971,0.4560999,-0.00012889742126465098,3.9801044,3.9800754,2.904641113277151e-05,3.6786242,3.6787002,-7.604686279316653e-05
20.0,50.0,11.0,10.0,0.9721693,0.9722999,-0.00013061994781493613,3.628174,3.6282752,-0.00010113345642093208,4.2000027,4.2002997,-0.000297029711914476
20.0,50.0,11.0,3.0,0.06904107,0.06894992,9.11533222961447e-05,4.2439775,4.243925,5.254669189458383e-05,3.2876885,3.2875001,0.00018839372863777015
20.0,50.0,14.0,5.0,0.19400838,0.19429994,-0.0002915598253631635,4.017259,4.0174003,-0.00014117905883814785,3.75668,3.7568002,-0.00012018825073223383
20.0,50.0,14.0,10.0,0.8776324,0.8777999,-0.00016752046813961474,3.6004004,3.6009002,-0.0004997521545409,4.4291916,4.4298,-0.0006084106445314319
17.0,50.0,11.0,10.0,0.76182353,0.761872,-4.846503448485695e-05,2.7714498,2.7711685,0.00028130430603034995,3.6673856,3.667372,1.35781555177239e-05
20.0,50.0,4.0,10.0,1.039114,1.0388,0.00031399841308599186,3.6066139,3.6064,0.00021387443542497664,3.8607597,3.8607998,-4.0064892578239863e-05
20.0,50.0,14.0,9.0,0.7408008,0.74109995,-0.0002991520606994147,3.6842127,3.6842003,1.2384631347561736e-05,4.295012,4.2952003,-0.0001883027770999135
16.0,50.0,11.0,10.0,0.6970695,0.69704777,2.1755718689009385e-05,2.5213957,2.5214772,-8.151671142586636e-05,3.5014553,3.5013635,9.180700683586451e-05
20.0,30.0,1.0,10.0,1.1342254,1.1340499,0.00017546849975591527,2.4854145,2.485525,-0.00011049499511717187,2.4808276,2.4810498,-0.00022223003845223133
20.0,40.0,4.0,10.0,1.1394765,1.1393,0.00017653770446779404,3.0405848,3.04065,-6.519737243637636e-05,3.1657596,3.166175,-0.00041543655395503976
20.0,50.0,3.0,10.0,1.0310287,1.0307,0.00032874755859380045,3.5937314,3.5934749,0.00025650335083016174,3.8347092,3.8346999,9.267480468810874e-06
20.0,50.0,3.0,8.0,0.8137433,0.8134,0.00034329328536986115,3.7944121,3.794175,0.00023713607788078406,3.5963883,3.5963001,8.823999633778001e-05
20.0,50.0,2.0,10.0,1.0185262,1.0181999,0.0003262964797974277,3.578429,3.5780997,0.00032928368835438704,3.8142605,3.8142002,6.028278808578591e-05
20.0,20.0,3.0,10.0,1.0730232,1.0730749,-5.1699964904727835e-05,2.181296,2.18085,0.00044611015319828695,2.0712414,2.0706997,0.0005416787841796555
20.0,40.0,17.0,10.0,0.79664934,0.7970749,-0.0004255631851196595,3.0852306,3.08485,0.0003805889129639972,4.1082344,4.1077003,0.0005341055175778209
20.0,50.0,11.0,8.0,0.7141548,0.7141999,-4.512008895873887e-05,3.8040566,3.8041751,-0.00011845556030287696,3.9392986,3.9395,-0.00020137023925759223
20.0,50.0,5.0,10.0,1.0423435,1.0425,-0.0001565027236938299,3.6165378,3.616875,-0.00033719062805159794,3.8908772,3.8925,-0.001622753143310618
20.0,40.0,5.0,10.0,1.1396,1.139375,0.00022503852844235617,3.0587635,3.0587497,1.3804028320407724e-05,3.2047617,3.2049997,-0.00023795645446789138
20.0,50.0,17.0,10.0,0.742952,0.7436999,-0.0007479108261108092,3.5507958,3.5514748,-0.0006790064666746254,4.7095985,4.7096996,-0.0001010587402348051
20.0,50.0,10.0,10.0,0.995106,0.9949999,0.00010608182678217837,3.6325364,3.6325002,3.6211285400433724e-05,4.1348114,4.135,-0.00018859863281228684
20.0,40.0,12.0,10.0,1.0166045,1.0166999,-9.535726776133124e-05,3.1169128,3.1168501,6.274179687482118e-05,3.6335566,3.6335752,-1.85956146241395e-05
20.0,50.0,15.0,10.0,0.837301,0.8374999,-0.00019888414611812788,3.5864577,3.5868752,-0.0004174706604005429,4.5169625,4.5175004,-0.000537871771240539
20.0,50.0,19.0,10.0,0.63117254,0.63229996,-0.0011274221963500919,3.5062075,3.5062752,-6.773387451186608e-05,4.9248505,4.9242997,0.0005507638671877757
20.0,50.0,5.0,7.0,0.7015906,0.70124996,0.00034063762954716914,3.9088826,3.9086246,0.00025801795043944864,3.5267658,3.5265002,0.0002656233642577277
11.0,50.0,5.0,10.0,0.43621546,0.43612182,9.364030044556326e-05,1.6359144,1.6354415,0.00047294492340088645,2.5106547,2.5104637,0.0001909878814698729
1.0,50.0,5.0,10.0,0.015983105,0.014999934,0.0009831707058105474,1.1464256,1.1443751,0.0020505048202514864,1.5313615,1.5275002,0.003861260685730006
20.0,50.0,13.0,10.0,0.91350484,0.9136999,-0.00019506105651856398,3.612924,3.6124752,0.00044889896850586197,4.3478346,4.3477,0.00013458709716829276
20.0,30.0,5.0,10.0,1.1464419,1.14625,0.00019193649291993076,2.603044,2.6031249,-8.086694946296547e-05,2.6310866,2.63125,-0.00016341209411629976
20.0,30.0,4.0,10.0,1.1499686,1.1498,0.00016862411499030117,2.5772517,2.5773997,-0.00014802725524898364,2.5850105,2.5853,-0.0002894714355470285
20.0,50.0,5.0,9.0,0.9291063,0.9287499,0.0003563951087951489,3.7140362,3.714125,-8.877372741711298e-05,3.770526,3.7705002,2.5732312011861325e-05
20.0,40.0,10.0,10.0,1.0737231,1.0737499,-2.6822225952072287e-05,3.1123247,3.1125002,-0.0001754853393554079,3.4827657,3.483125,-0.0003593254089353515
20.0,50.0,10.0,7.0,0.6156365,0.6155,0.00013652753829951347,3.9012082,3.901,0.00020816230773945676,3.7480385,3.7480001,3.84303497313887e-05
20.0,50.0,0.0,0.0,-0.029596806,-0.030000031,0.0004032254274902343,4.5894675,4.59,-0.0005324745178221235,2.6403437,2.64,0.0003436660766600319
20.0,50.0,18.0,10.0,0.68945456,0.6901999,-0.0007453444885253679,3.530862,3.5301,0.0007620929718017422,4.814935,4.8142,0.0007352073669437686
18.0,50.0,5.0,10.0,0.8884849,0.8891342,-0.0006493047706603861,3.0502987,3.0505178,-0.00021910920410173063,3.5423281,3.5446606,-0.0023324807220457267
20.0,50.0,5.0,8.0,0.81533957,0.815,0.00033956527709966267,3.8113668,3.811375,-8.20350646968393e-06,3.648611,3.6485002,0.00011086872558596639
2.0,50.0,5.0,10.0,0.046064675,0.04514534,0.0009193348542785654,1.1146103,1.1124568,0.0021535143692017478,1.6032108,1.5996193,0.003591506846618575
20.0,50.0,12.0,10.0,0.9450336,0.94519985,-0.0001662401329040053,3.6217468,3.6216004,0.00014637848815901577,4.2711024,4.2712007,-9.82715637203313e-05
7.0,50.0,5.0,10.0,0.23593411,0.23576167,0.00017243849571227376,1.2238785,1.2229483,0.000930202845764061,2.048204,2.0474722,0.0007317451599120339
4.0,50.0,5.0,10.0,0.11435181,0.11341406,0.0009377490248107939,1.0998888,1.1026368,-0.0027479984252929412,1.7633654,1.7613089,0.0020564879165649863
4.0,10.0,16.0,2.0,-0.4982664,-0.49805433,-0.00021206890670777412,-0.136343,-0.13750142,0.0011584176806640756,0.8571265,0.8575668,-0.0004403256195067984
7.0,40.0,4.0,10.0,0.35769105,0.3571933,0.0004977495758056727,0.7618327,0.76064444,0.0011882740808105696,1.4535019,1.4518316,0.0016703397735595704
9.0,50.0,5.0,10.0,0.33096874,0.3306232,0.00034553760223388075,1.3924259,1.3931837,-0.0007578052627563725,2.2680643,2.2673337,0.0007305604827880785
20.0,40.0,6.0,10.0,1.1352167,1.1350498,0.00016691295166015863,3.0742714,3.0744,-0.00012855949401835431,3.249042,3.2494252,-0.0003831658508302027
20.0,50.0,5.0,2.0,0.13187319,0.13249996,-0.0006267695970153808,4.394223,4.394875,-0.0006517868041990837,2.9158337,2.9165,-0.0006662883758545846
18.0,40.0,4.0,9.0,0.8976815,0.8976947,-1.3225314331011262e-05,2.585749,2.5857902,-4.1289096069263564e-05,2.739008,2.7389197,8.824982910171641e-05
13.0,40.0,4.0,10.0,0.66225237,0.66232073,-6.836345718386205e-05,1.4345385,1.4348383,-0.0002998163803100695,2.120579,2.1209064,-0.0003273957122802429
18.0,30.0,4.0,9.0,0.9284442,0.92847097,-2.6763285369879597e-05,2.1470714,2.1469746,9.676154174798057e-05,2.191555,2.1914394,0.00011562319335922666
20.0,30.0,6.0,10.0,1.1384308,1.1383,0.00013083381652823078,2.6261876,2.6263998,-0.00021223705749529032,2.6825035,2.6828,-0.0002965381622312968
20.0,40.0,1.0,10.0,1.1129904,1.112675,0.0003153793334960131,2.972176,2.97165,0.0005260749816895505,3.0832064,3.0833,-9.35848236083281e-05
20.0,50.0,6.0,10.0,1.0421524,1.0417999,0.00035250478515624906,3.6250143,3.6248999,0.00011440511474614112,3.9297361,3.9298005,-6.436260986308895e-05
18.0,40.0,20.0,10.0,0.4907363,0.49071324,2.3065713653569464e-05,2.4257867,2.425945,-0.0001582663726806821,4.0956383,4.0962725,-0.0006342248535160522
20.0,40.0,7.0,10.0,1.1263589,1.1263249,3.396669158939325e-05,3.087442,3.0876,-0.00015807876586926284,3.2991297,3.29945,-0.00032027549743673944
20.0,30.0,7.0,10.0,1.125963,1.1259499,1.307264099126293e-05,2.6470346,2.647225,-0.00019035491943375504,2.7397597,2.7399497,-0.00019001639099114342
19.0,50.0,6.0,10.0,0.9647604,0.964656,0.00010442270660404596,3.3309474,3.3307974,0.00014999913940449972,3.7517128,3.7518668,-0.00015400092773454332
20.0,50.0,13.0,9.0,0.7794532,0.77954996,-9.674201675413663e-05,3.697301,3.697325,-2.408905029316344e-05,4.2142715,4.2145,-0.000228454589843885
19.0,40.0,4.0,10.0,1.0632049,1.0631822,2.2684529113803364e-05,2.7571409,2.7572317,-9.082513732927566e-05,2.9989493,2.9993997,-0.0004504106781006989
19.0,30.0,7.0,1.0,0.27058133,0.2709454,-0.00036406517066955857,3.3331423,3.3356302,-0.0024879194213869305,1.7594017,1.759711,-0.0003093209609985603
19.0,20.0,6.0,9.0,0.9128742,0.91285574,1.848180175778591e-05,2.1276605,2.1274843,0.00017621292419445211,2.004895,2.004723,0.000171971847534369
19.0,30.0,6.0,10.0,1.0666327,1.0666822,-4.945234985354041e-05,2.3461308,2.3459814,0.00014944793090831965,2.5229602,2.5227613,0.00019888600463868755
19.0,20.0,5.0,9.0,0.9260793,0.9261124,-3.312677612299364e-05,2.1002674,2.1000555,0.0002119102783204596,1.9487703,1.9485533,0.00021698465271002831
19.0,30.0,1.0,10.0,1.0581518,1.0580902,6.164116363516214e-05,2.21473,2.214712,1.8024337768540732e-05,2.3266075,2.3265374,7.006574401868804e-05
19.0,50.0,5.0,9.0,0.8530841,0.85294795,0.0001361373718261616,3.4142299,3.414154,7.586984252938578e-05,3.59633,3.5964613,-0.00013137255554207528
19.0,50.0,7.0,8.0,0.7271183,0.72714543,-2.711668746946394e-05,3.5072029,3.5071726,3.0263693237220224e-05,3.5496476,3.5496404,7.169656372152389e-06
20.0,50.0,16.0,10.0,0.792582,0.79279983,-0.00021785453994749293,3.5693483,3.5704,-0.0010516647338865148,4.60984,4.6108003,-0.0009603837707521379
19.0,50.0,4.0,8.0,0.74212843,0.74194014,0.00018829179702761767,3.4982383,3.4981606,7.772511901871226e-05,3.44947,3.4494562,1.3843182372852425e-05
19.0,50.0,7.0,7.0,0.6104168,0.6105059,-8.907041397099302e-05,3.5934649,3.593533,-6.8148620605335e-05,3.4276881,3.4276297,5.842179565451744e-05
19.0,50.0,7.0,10.0,0.96030575,0.96042436,-0.00011860962997434221,3.3347492,3.3344514,0.00029782180175796924,3.7938695,3.793661,0.00020849539184553123
20.0,50.0,6.0,7.0,0.693262,0.69289994,0.00036204101043701975,3.9122262,3.9119997,0.0002265001037597969,3.5597432,3.5596,0.00014316596984853547
20.0,50.0,7.0,10.0,1.0369577,1.0366998,0.0002579407836913461,3.6304324,3.6304748,-4.2432675170900325e-05,3.972561,3.9727,-0.00013911743164074508
20.0,30.0,3.0,10.0,1.1491306,1.1489501,0.000180482809448268,2.5490184,2.5492249,-0.000206516973876969,2.5446646,2.5449498,-0.00028517864685051464
20.0,50.0,5.0,6.0,0.5878057,0.5875,0.00030568838119504615,4.005934,4.0058746,5.916159667940235e-05,3.4046333,3.4045002,0.0001330836151121062
20.0,50.0,1.0,10.0,1.0016372,1.0012999,0.0003373203826904092,3.5605202,3.560275,0.00024517211914076853,3.7993546,3.7993002,5.435322265645581e-05
20.0,50.0,6.0,8.0,0.8094919,0.80919987,0.00029200278747554265,3.8165216,3.8163,0.00022164459228513067,3.6831403,3.683,0.00014027786254899866
20.0,50.0,4.0,7.0,0.7055325,0.7051999,0.0003325912071228121,3.9030461,3.9027998,0.000246331134033273,3.4991202,3.499,0.00012023544311512424
20.0,40.0,3.0,10.0,1.1351018,1.134825,0.0002767951965332305,3.0201652,3.0200999,6.530500183110632e-05,3.132704,3.1329498,-0.0002457804534912178
20.0,50.0,6.0,9.0,0.9257859,0.9254999,0.0002859991622924385,3.7207325,3.7206,0.00013245048522936287,3.806421,3.8064,2.1041488647455253e-05
20.0,40.0,8.0,10.0,1.1132716,1.1132,7.15940475464194e-05,3.0981114,3.09835,-0.00023860893249505466,3.3546228,3.355075,-0.0004521591186521512
19.0,40.0,3.0,10.0,1.0579591,1.0578389,0.00012017974243172524,2.7385342,2.7386029,-6.868788757330435e-05,2.9670131,2.9672794,-0.0002662793487546722
19.0,50.0,20.0,10.0,0.5044275,0.5050138,-0.0005863073814391662,3.158136,3.1590028,-0.0008669090393067513,4.8469,4.846593,0.00030698626708947074
18.0,50.0,5.0,9.0,0.7797878,0.7798052,-1.742114562985897e-05,3.132454,3.1321888,0.00026511845703103276,3.4279487,3.4282393,-0.0002905866973876847
20.0,40.0,4.0,9.0,1.0430702,1.0428499,0.00022029710540771852,3.1502466,3.1502,4.6620178222767095e-05,3.0609841,3.061075,-9.086532592794683e-05
19.0,30.0,4.0,10.0,1.0764658,1.0764453,2.054510803217724e-05,2.3008952,2.3008235,7.171408081063646e-05,2.4275599,2.4274719,8.79526000976405e-05
20.0,30.0,8.0,10.0,1.1092883,1.1091999,8.843484649667666e-05,2.6653664,2.6656,-0.00023358879089352413,2.8023956,2.8026996,-0.0003040178009032779
20.0,50.0,8.0,10.0,1.0274372,1.0271999,0.0002373100830077579,3.6335838,3.6336,-1.6215896606386337e-05,4.0209994,4.0212,-0.00020056838989290782
20.0,30.0,2.0,10.0,1.143884,1.1437,0.00018394355773931892,2.5184817,2.5185997,-0.00011796858520529696,2.5099578,2.5102,-0.00024220962524434952
20.0,40.0,11.0,10.0,1.0474107,1.0474249,-1.4173452758781124e-05,3.1157727,3.1159,-0.00012727584838856387,3.5553179,3.5555496,-0.00023172127685544552
20.0,50.0,4.0,9.0,0.927927,0.9275999,0.00032711721191402976,3.7054055,3.7052,0.00020547370910639629,3.7402208,3.7402,2.07851409910198e-05
20.0,50.0,4.0,8.0,0.8167205,0.8164,0.0003204856872558448,3.8042471,3.804,0.00024714088439958815,3.6196856,3.6196,8.564987182602124e-05
20.0,50.0,7.0,7.0,0.680453,0.68015,0.00030300245285030947,3.9130793,3.9129248,0.00015446177978528652,3.5983582,3.5982997,5.8454296874899114e-05
20.0,50.0,6.0,6.0,0.57685125,0.5765999,0.0002513487411498483,4.007848,4.0077,0.00014778594970721315,3.4363403,3.4362001,0.00014023203124979844
20.0,50.0,12.0,8.0,0.6818787,0.6819999,-0.00012121404876708208,3.7943943,3.7944002,-5.945315551869612e-06,4.00749,4.0076,-0.00010984191894536366
20.0,50.0,7.0,9.0,0.9179788,0.9178499,0.0001289231849670447,3.7250156,3.7246249,0.0003907402587892683,3.8480728,3.8479,0.00017276725769033163
17.0,40.0,4.0,9.0,0.8291203,0.8291062,1.4078358459457263e-05,2.3305283,2.3305936,-6.534072265607094e-05,2.586539,2.586568,-2.8969924926958157e-05
16.0,40.0,4.0,9.0,0.763181,0.7631768,4.171145629894291e-06,2.0933702,2.0934024,-3.22007965087856e-05,2.4400716,2.4400334,3.818279418954518e-05
19.0,40.0,5.0,10.0,1.0642538,1.0641257,0.00012810706787114157,2.773366,2.7734106,-4.462557373052789e-05,3.037044,3.0371192,-7.515169067362493e-05
20.0,40.0,2.0,10.0,1.1262555,1.12595,0.00030551223754882173,2.9972224,2.9970999,0.00012252355346697996,3.1051302,3.1053252,-0.0001950043823240044
16.0,40.0,7.0,9.0,0.7530985,0.75297284,0.00012564785400392964,2.112412,2.1126497,-0.00023772413940426063,2.5555382,2.5558453,-0.00030712250976572264
20.0,50.0,7.0,8.0,0.799217,0.7989999,0.0002170857025146633,3.8190928,3.818775,0.0003177505493163757,3.7233584,3.7231,0.00025839271545402553
18.0,20.0,5.0,8.0,0.7962182,0.7961803,3.791641922001876e-05,1.9525437,1.9525373,6.43550415047045e-06,1.737411,1.7372527,0.00015832218627931383
20.0,50.0,10.0,9.0,0.86858165,0.86849993,8.172264129635565e-05,3.722186,3.7220001,0.00018598856201190728,4.0059724,4.006,-2.761459350608675e-05
20.0,50.0,3.0,7.0,0.7051097,0.70474994,0.0003597754617309379,3.894827,3.8945248,0.00030208903808581766,3.4772372,3.4771001,0.00013712457885750595
20.0,50.0,3.0,9.0,0.9223924,0.9220499,0.00034252792129518816,3.6940603,3.693825,0.00023532562255867973,3.7155528,3.7155,5.2806854248022006e-05
20.0,50.0,8.0,7.0,0.66325265,0.6629999,0.0002527516914367922,3.9116144,3.9114,0.00021441802978516833,3.6426802,3.6426,8.016815185563075e-05
20.0,50.0,8.0,9.0,0.9059837,0.9057999,0.00018378644714356351,3.7264252,3.7261999,0.00022527089843737969,3.895021,3.8950002,2.0761761474474838e-05
20.0,50.0,8.0,8.0,0.78460735,0.78439987,0.00020748082626342867,3.8189888,3.8188,0.0001888000488281527,3.7688763,3.7688003,7.601416320790477e-05
20.0,40.0,5.0,9.0,1.0405235,1.0403749,0.00014862905273438365,3.16681,3.1667497,6.033570556640555e-05,3.0982542,3.0984998,-0.00024559620361319645
20.0,50.0,4.0,6.0,0.5943026,0.59400004,0.00030255466171269507,4.001868,4.0016,0.00026777114868181684,3.3785255,3.3784,0.00012549552917473505
19.0,30.0,2.0,10.0,1.0686543,1.0686085,4.579878234856061e-05,2.2459023,2.2458656,3.6699880981316824e-05,2.354673,2.354582,9.090878295880955e-05
20.0,50.0,16.0,9.0,0.65056944,0.6509998,-0.00043036106567384547,3.6502638,3.6506002,-0.0003364136840819931,4.4731064,4.4734,-0.00029361572265607094
19.0,50.0,2.0,8.0,0.7300295,0.72980326,0.0002262633726501928,3.4800694,3.4799027,0.00016669888000508948,3.4106941,3.4106667,2.7422314452962837e-05
20.0,50.0,7.0,6.0,0.56151813,0.5612999,0.00021823268661502748,4.00728,4.007075,0.00020487289428672284,3.4736505,3.4735,0.00015045547485348365
19.0,40.0,1.0,10.0,1.0341012,1.033952,0.00014924778747560374,2.6938648,2.693995,-0.00013017761230482705,2.9196713,2.91984,-0.0001687029266359552
17.0,30.0,4.0,10.0,0.93769026,0.9377141,-2.3841973876947975e-05,1.8017538,1.8016883,6.545938415536412e-05,2.1293497,2.1292667,8.300855712883859e-05
19.0,50.0,18.0,10.0,0.6232552,0.623477,-0.00022180676650995768,3.2131627,3.2129452,0.00021746059875482615,4.623105,4.623003,0.00010204913330102983
19.0,40.0,8.0,10.0,1.0405562,1.040556,1.9239807125259745e-07,2.807267,2.8072476,1.9350607299628564e-05,3.1837773,3.1838784,-0.00010106769409201632
17.0,30.0,5.0,10.0,0.93674076,0.93676937,-2.861396514897141e-05,1.8217051,1.82165,5.510292053223509e-05,2.1719756,2.1719007,7.491264038073098e-05
19.0,20.0,8.0,10.0,0.94793165,0.9480822,-0.00015055269927977122,2.0584888,2.0579317,0.0005571458251951711,2.2112393,2.210773,0.00046633792114247896
20.0,50.0,13.0,8.0,0.6452364,0.6453999,-0.00016352705230715525,3.7822614,3.7821753,8.607161254881035e-05,4.081249,4.0813003,-5.106293945278395e-05
20.0,50.0,10.0,8.0,0.7421335,0.74199986,0.00013363819183354053,3.8115518,3.8115003,5.150931091302269e-05,3.876924,3.877,-7.596206665017036e-05
20.0,50.0,3.0,6.0,0.5964125,0.59610003,0.0003124498774719209,3.9950905,3.9948747,0.0002157846191406243,3.358035,3.3579,0.00013508758544933386
19.0,50.0,3.0,6.0,0.52513665,0.52519286,-5.621039138792305e-05,3.6753159,3.6753776,-6.174306640627236e-05,3.1944425,3.1944401,2.410604858393839e-06
10.0,40.0,1.0,1.0,-0.15528685,-0.15514,-0.00014684854507446277,1.3348577,1.3320955,0.0027622022552489245,1.0530019,1.0534272,-0.0004253193542480549
15.0,40.0,4.0,10.0,0.7852515,0.78530407,-5.2571777648946494e-05,1.8035021,1.803614,-0.00011191717529301926,2.3903465,2.3904686,-0.00012207290039079055
20.0,50.0,15.0,8.0,0.5587327,0.5589999,-0.00026721157302855847,3.750079,3.7503753,-0.00029638345031735014,4.2452726,4.2455006,-0.00022796358642551695
13.0,30.0,3.0,9.0,0.6216255,0.6215575,6.798303604127476e-05,1.0720798,1.0720792,5.777175904331244e-07,1.5014052,1.5013759,2.9339105224623907e-05
20.0,50.0,2.0,9.0,0.91245854,0.91209984,0.00035869900909424324,3.6802573,3.6799998,0.0002575204040526913,3.6964643,3.6964002,6.410015563984572e-05
19.0,10.0,7.0,10.0,0.7904654,0.789977,0.0004884145240783289,1.8041503,1.8053198,-0.0011694570587157394,1.8178942,1.8189508,-0.0010565796478272382
20.0,40.0,9.0,10.0,1.095653,1.095675,-2.194290161128265e-05,3.1065228,3.1066499,-0.00012710146179184534,3.415893,3.4162998,-0.00040672214965820075
20.0,50.0,1.0,9.0,0.8980895,0.89774984,0.0003396880838012484,3.6640186,3.6637251,0.0002935309814451337,3.6829886,3.6829,8.864364624017185e-05
20.0,50.0,12.0,7.0,0.55027044,0.5504,-0.000129561805725098,3.880921,3.8808,0.00012088699340839781,3.8757746,3.8758001,-2.547803649921576e-05
20.0,50.0,9.0,10.0,1.0135388,1.0133,0.0002388374328612386,3.6346931,3.6342745,0.00041864575195305065,4.075218,4.0752997,-8.149931640666352e-05
20.0,50.0,8.0,6.0,0.54178095,0.5415999,0.00018104863891599265,4.0042424,4.004,0.00024242019653364366,3.516552,3.5164,0.00015197143554690484
19.0,40.0,9.0,10.0,1.023954,1.0238993,5.4733851623467444e-05,2.8134878,2.8136265,-0.00013873182678203477,3.243812,3.243998,-0.00018591580200189028
19.0,30.0,9.0,10.0,1.0189564,1.0190375,-8.107719421390769e-05,2.395476,2.3953433,0.0001328028289795391,2.7079117,2.7076952,0.0002165298126222126
15.0,40.0,14.0,9.0,0.5205578,0.52057767,-1.9849203033439622e-05,1.8337176,1.833414,0.0003035846099852524,2.8703685,2.8703027,6.578068237317325e-05
14.0,40.0,4.0,10.0,0.72247356,0.7224828,-9.238236236552844e-06,1.6096703,1.6102234,-0.0005531185897826862,2.2524538,2.252779,-0.00032519598388658366
19.0,50.0,9.0,10.0,0.9388715,0.9387612,0.00011030287628177593,3.3346837,3.3344092,0.00027445669250480975,3.8938332,3.8940506,-0.0002174395996092926
